Handle,Title,ID,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Image,product_link,color_code
4302536,,7654906626127,42340553457743,,Black,,M,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536800-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570117&v2=2467342,800
4302536,,7654906626127,42340553490511,,Black,,L,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536800-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570117&v2=2467342,800
4302536,,7654906626127,42340553523279,,Black,,XL,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536800-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570117&v2=2467342,800
4302536,,7654906626127,42340553556047,,Navy blue,,S,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536401-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570116&v2=2467342,401
4302536,,7654906626127,42340553588815,,Navy blue,,M,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536401-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570116&v2=2467342,401
4302536,,7654906626127,42340553621583,,Navy blue,,L,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536401-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570116&v2=2467342,401
4302536,,7654906626127,42349191331919,,Navy blue,,XL,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302536401-p.jpg?v=1734181398,https://www.zara.com/in/en/lightweight-puffer-gilet-p04302536.html?v1=410570116&v2=2467342,401
4302501,HOODED PUFFER JACKET,7654906593359,42340553130063,Color,Light khaki,Size,S,8550.0,8550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501506-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=389576457&v2=2467342,506
4302501,,7654906593359,42340553162831,,Light khaki,,M,8550.0,8550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501506-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=389576457&v2=2467342,506
4302501,,7654906593359,42340553195599,,Light khaki,,L,8550.0,8550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501506-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=389576457&v2=2467342,506
4302501,,7654906593359,42340553228367,,Light khaki,,XL,8550.0,8550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501506-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=389576457&v2=2467342,506
4302501,,7654906593359,42340553261135,,Black,,S,8550.0,8550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501800-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=410590449&v2=2467342,800
4302501,,7654906593359,42340553293903,,Black,,M,8550.0,8550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501800-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=410590449&v2=2467342,800
4302501,,7654906593359,42340553326671,,Black,,L,8550.0,8550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501800-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=410590449&v2=2467342,800
4302501,,7654906593359,42340553359439,,Black,,XL,8550.0,8550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302501800-p.jpg?v=1734181392,https://www.zara.com/in/en/hooded-puffer-jacket-p04302501.html?v1=410590449&v2=2467342,800
4302474,LINEN/COTTON TROUSERS,7654906560591,42340552966223,Color,White,Size,EU 36 (UK 29),4250.0,4250.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302474250-p.jpg?v=1734181390,https://www.zara.com/in/en/linen-cotton-trousers-p04302474.html?v1=364091946&v2=2432072,250
4302474,,7654906560591,42340552998991,,Olive green,,EU 36 (UK 29),4250.0,4250.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302474515-p.jpg?v=1734181390,https://www.zara.com/in/en/linen-cotton-trousers-p04302474.html?v1=364091944&v2=2432072,515
4302474,,7654906560591,42340553031759,,Olive green,,EU 40 (UK 31),4250.0,4250.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302474515-p.jpg?v=1734181390,https://www.zara.com/in/en/linen-cotton-trousers-p04302474.html?v1=364091944&v2=2432072,515
4302474,,7654906560591,42340553064527,,Olive green,,EU 42 (UK 32),4250.0,4250.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302474515-p.jpg?v=1734181390,https://www.zara.com/in/en/linen-cotton-trousers-p04302474.html?v1=364091944&v2=2432072,515
4302474,,7654906560591,42340553097295,,Olive green,,EU 46 (UK 36),4250.0,4250.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302474515-p.jpg?v=1734181390,https://www.zara.com/in/en/linen-cotton-trousers-p04302474.html?v1=364091944&v2=2432072,515
4302449,LINEN - COTTON BERMUDA SHORTS,7654906527823,42340552605775,Color,Black,Size,S,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449800-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086881&v2=2432093,800
4302449,,7654906527823,42340552638543,,Black,,M,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449800-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086881&v2=2432093,800
4302449,,7654906527823,42340552671311,,Black,,L,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449800-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086881&v2=2432093,800
4302449,,7654906527823,42340552704079,,camel,,S,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449707-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086883&v2=2432093,707
4302449,,7654906527823,42340552736847,,camel,,M,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449707-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086883&v2=2432093,707
4302449,,7654906527823,42340552769615,,camel,,L,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449707-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086883&v2=2432093,707
4302449,,7654906527823,42340552802383,,camel,,XL,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449707-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086883&v2=2432093,707
4302449,,7654906527823,42340552835151,,Green,,S,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449500-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086880&v2=2432093,500
